"Name","BSNR","Admin Email","Allgemeinen Chat aktivieren","Test account","Using video call","Total Active users","Doctor use video call","Total patients","Total Requests","Total questionnares","Care provider Type","Status","Created date"
"Psychotherapeutische Praxis Christina Diessner","616950000","info@diessner-psychotherapie.de","true","false","true","0","0","0","0","4","Psychotherapiepraxis","Deactivated","22.10.2024"
"Praxis TW","","tamara.weber+praxis-tw@medi-verbund.de","true","false","true","2","2","7","13","6","Andere","Unlimited","21.10.2024"
"Allgemeinarzt 2","","vy.pham+4@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","18.10.2024"
"Allgemeinarzt","190000002","vy.pham+2@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","17.10.2024"
"Brwa Rasul","","brwa.rasul@medi-verbund.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","14.10.2024"
"Praxis Botnang","581904000","b@r.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","11.10.2024"
"kv_1728458450367","","kv_1728458450367@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","09.10.2024"
"kv-hiep-pro-cal-02","","hiep.phan+kv02@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","09.10.2024"
"kv-hiep-pro-cal-01","","hiep.phan+kv01@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","09.10.2024"
"kv_1728397483379","","kv_1728397483379@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","08.10.2024"
"kv_1728374180708","","kv_1728374180708@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","08.10.2024"
"kv_1728373526499","","kv_1728373526499@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","08.10.2024"
"kv_1728297181085","","kv_1728297181085@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","07.10.2024"
"kv_1728296669071","","kv_1728296669071@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","07.10.2024"
"kv_1728295171553","","kv_1728295171553@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","07.10.2024"
"blue - garrio PRO + COM + CAL","","blue+staging@silentium.io","true","true","true","0","0","0","0","4","Zahnarztpraxis","Unlimited","04.10.2024"
"huy.pham+staging@silentium.io","","huy.pham+staging@silentium.io","true","false","true","4","0","2","9","4","Facharztpraxis","Unlimited","03.10.2024"
"Blood test Praxis","","blue+test@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","20.09.2024"
"dev-zitadel-v2600","","dev-zitadel-v2600@yopmail.com","true","false","true","0","0","0","0","4","Praxis","Unlimited","06.09.2024"
"Thanh - New Zitadel testing CP","","test@test-zitadel.blue","false","true","false","3","1","1","2","5","Andere","Unlimited","05.09.2024"
"TechCare03","","techcare03@gmail.com","true","false","true","1","0","2","5","5","Praxis","Unlimited","12.08.2024"
"TechCare02","","techcare02@gmail.com","true","false","true","2","0","0","0","4","Praxis","Unlimited","07.08.2024"
"TechCare01","","techcare01@gmail.com","true","false","true","1","0","0","0","4","Praxis","Unlimited","07.08.2024"
"Care provider C","","luhotrung3@gmail.com","true","false","true","1","0","1","3","4","Praxis","Unlimited","06.08.2024"
"rbk.demo","","rbk.demo@yopmail.com","true","false","true","0","0","0","0","4","Praxis","Unlimited","06.08.2024"
"RKH Ludwigsburg","","tilgto01@rkh-gesundheit.de","true","false","true","2","0","1","1","4","Andere","Unlimited","24.07.2024"
"P-ComCal Integration","871132342","gcomcal@test.com.sd","true","false","true","2","0","0","0","4","Praxis","Unlimited","18.07.2024"
"test data field","","test-data@yopmail.com","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.07.2024"
"blue care 20240711","","blue@test.garrio.de","false","true","true","0","0","0","0","4","Praxis","Deactivated","11.07.2024"
"Testing new UI","","test-new-ui@yopmail.com","true","true","true","1","0","0","0","4","Praxis","Unlimited","10.07.2024"
"Praxis Brwa","999999989","brwa.rasul+praxis-brwa@medi-verbund.de","true","false","false","1","0","0","0","4","Praxis","Deactivated","03.07.2024"
"test 202407011325","999999990","christian.bister+test-202407011325@medi-verbund.de","true","true","true","0","0","0","0","4","Praxis","Unlimited","01.07.2024"
"garrioCOM","999999994","christian.bister+staging-garriocom@medi-verbund.de","true","false","true","3","2","1","7","5","Andere","Unlimited","27.06.2024"
"garrioCOM Video 1","999999995","christian.bister+garriocom-video-1@medi-verbund.de","true","false","true","0","0","0","0","4","Andere","Deactivated","12.06.2024"
"garrioCOM Gesundheitspartner","999999997","christian.bister+garriocom-gesundheitspartner@medi-verbund.de","true","false","true","0","0","0","0","4","Andere","Unlimited","12.06.2024"
"new testing account","","testing_account@test.garrio","true","true","true","0","0","0","0","4","Praxis","Deactivated","16.04.2024"
"mrtrue0202","","mrtrue0202@gmail.com","true","true","true","6","2","3","7","4","Praxis","Unlimited","26.03.2024"
"Matrix Check Praxis #3","","christian.bister+matrix-check-praxis-3@medi-verbund.de","true","true","true","1","1","1","2","4","Praxis","Unlimited","20.03.2024"
"Matrix Check Praxis #2","009999900","christian.bister+matrix-check-praxis-2@medi-verbund.de","true","false","true","1","1","1","2","5","Praxis","Unlimited","20.03.2024"
"Gemeinschatspraxis Dr./Univ. Pisa Susanna Colopi-Glage, Dr. Stintz und Wambsganß","528003600","colopi.glage@t-online.de","false","false","false","0","0","0","0","4","Praxis","Unlimited","18.03.2024"
"Name of customer","","christian.bister+email-of-customer@medi-verbund.de","true","true","true","0","0","0","0","4","Andere","Unlimited","07.03.2024"
"Matrix Check Praxis","","christian.bister+matrix-check-praxis@medi-verbund.de","true","false","true","2","2","2","8","4","Andere","Unlimited","28.02.2024"
"Staging DOKUMENTATION #7","","tamara.weber+staging-dokumentation-7@medi-verbund.de","true","false","true","1","1","1","3","5","Andere","Unlimited","27.02.2024"
"Staging DOKUMENTATION #6","","valentina.lavorato+staging-dokumentation-6@medi-verbund.de","false","false","false","1","1","0","0","4","Praxis","Unlimited","26.02.2024"
"garrio DEVOPS STAGING","","christian.bister+garrio-devops-staging@medi-verbund.de","true","false","true","25","12","12","434","16","Andere","Unlimited","23.02.2024"
"DEMO Schulungspraxis","","valentina.lavorato+staging-valentina-demo@medi-verbund.de","true","false","true","9","5","2","2","4","Praxis","Unlimited","30.01.2024"
"Cuong testing","","cuong@garrio.demo","true","true","true","0","0","0","0","4","Praxis","Unlimited","29.01.2024"
"Team garrio DEMO","","christian.bister+staging-team-garrio-demo@medi-verbund.de","true","false","true","3","3","7","14","6","Praxis","Unlimited","25.01.2024"
"Bao Super Care","","baosupercare@gmail.com","true","true","true","3","1","9","15","4","Praxis","Unlimited","25.01.2024"
"garrioCOM DEV-Team- aaaa","244466666","jan23@mail.com","true","true","true","9","7","36","80","10","Praxis","Unlimited","23.01.2024"
"Staging DOKUMENTATION #4","","christian.bister+staging-dokumentation-4@medi-verbund.de","false","true","false","0","0","0","0","4","Andere","Unlimited","17.01.2024"
"Blizt test 9/10/2024","123123213","blizttest9/10/2024628737@garrio.demo","true","false","true","1","1","0","0","4","Praxis","Unlimited","09.01.2024"
"Praxis #1","","praxis#1541665@garrio.demo","false","false","true","2","2","5","5","5","Praxis","Unlimited","08.01.2024"
"abilex","","abilex647356@garrio.demo","true","false","true","4","4","0","71","4","Andere","Unlimited","20.12.2023"
"Staging DOKUMENTATION #3","","stagingdokumentation#3644586@garrio.demo","true","false","true","1","1","0","0","4","Praxis","Unlimited","19.12.2023"
"Staging DOKUMENTATION #2","","stagingdokumentation#2275050@garrio.demo","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.12.2023"
"Staging DOKUMENTATION #1","","stagingdokumentation#1876305@garrio.demo","false","false","true","0","0","0","0","4","Praxis","Unlimited","19.12.2023"
"Watermelon","","watermelon244129@garrio.demo","true","true","true","1","1","0","0","4","Praxis","Unlimited","19.12.2023"
"Staging DEMO #2","","stagingdemo#2699498@garrio.demo","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.12.2023"
"Staging DEMO #1","","stagingdemo#1524397@garrio.demo","true","false","true","2","2","5","9","5","Praxis","Unlimited","12.12.2023"
"Minh-20231211","","minh-20231211506170@garrio.demo","true","true","true","1","1","1","1","4","Praxis","Unlimited","11.12.2023"
"PasswordTest","","passwordtest543310@garrio.demo","false","true","true","0","0","0","0","4","Andere","Unlimited","29.11.2023"
"Minh-20231124-01","","minh-20231124-01364562@garrio.demo","true","true","true","3","3","0","3","4","Praxis","Unlimited","24.11.2023"
"Nhat - 24-11-2023","","nhat-24-11-2023424077@garrio.demo","true","true","true","1","1","2","2","4","Praxis","Unlimited","24.11.2023"
"Lu La Care","","lulacare153126@garrio.demo","true","true","true","1","1","1","1","4","Praxis","Unlimited","24.11.2023"
"Ly La Care","","lylacare560770@garrio.demo","true","true","true","2","2","4","1","4","Praxis","Unlimited","24.11.2023"
"Lucy Care","","lucycare768793@garrio.demo","true","false","true","1","1","4","2","4","Praxis","Unlimited","23.11.2023"
"ZentrustB","","zentrustb871335@garrio.demo","true","false","true","4","4","4","3","13","Andere","Unlimited","23.11.2023"
"ZentrustA","","zentrusta526664@garrio.demo","true","false","true","6","6","8","6","4","Andere","Unlimited","23.11.2023"
"Minh-20231123-04","","minh-20231123-04472379@garrio.demo","true","true","true","3","3","0","2","4","Praxis","Unlimited","23.11.2023"
"Minh-20231123-03","","minh-20231123-03830859@garrio.demo","true","true","true","1","1","0","0","4","Praxis","Unlimited","23.11.2023"
"Minh-20231123-02","","minh-20231123-02546038@garrio.demo","true","true","true","3","3","0","0","4","Praxis","Unlimited","23.11.2023"
"Minh-20231123-01","","minh-20231123-01606299@garrio.demo","true","true","true","3","3","0","6","4","Praxis","Unlimited","23.11.2023"
"Dev test API 2","","devtestapi2170776@garrio.demo","true","true","true","5","5","8","7","6","Praxis","Unlimited","22.11.2023"
"HuuCare01@gmail.com","","huucare01851369@garrio.demo","true","true","true","4","4","5","4","4","Praxis","Unlimited","22.11.2023"
"One Pie Care","","onepiecare290206@garrio.demo","true","true","false","1","1","7","10","5","Praxis","Unlimited","22.11.2023"
"Sifer Care","","sifercare861389@garrio.demo","true","false","true","3","3","2","1","4","Praxis","Unlimited","22.11.2023"
"Stadtpraxis Gutekunst","","stadtpraxisgutekunst729485@garrio.demo","true","false","true","3","2","9","82","10","Praxis","Unlimited","17.11.2023"
"Neurosurgery Hospital","190099090","neurosurgeryhospital324342@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","15.11.2023"
"will1001@gmail.com","","will1001492232@garrio.demo","true","true","false","3","3","1","1","3","Praxis","Unlimited","09.11.2023"
"Demo pass pharse","","demopasspharse407729@garrio.demo","true","true","true","1","1","0","1","3","Praxis","Unlimited","08.11.2023"
"Wasen-Clinic","","wasen-clinic602250@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","05.10.2023"
"Trung 2","123456781","trung2745105@garrio.demo","true","true","false","1","1","0","0","3","Praxis","Unlimited","05.10.2023"
"Bao Care - Zitadel","","baocare-zitadel761470@garrio.demo","true","true","false","1","1","0","0","3","Facharztpraxis","Unlimited","05.10.2023"
"Staging DOKUMENTATION #1","","stagingdokumentation#1411069@garrio.demo","true","false","true","5","5","5","13","4","Praxis","Unlimited","04.10.2023"
"Gia Care - Zitadel","","giacare-zitadel520810@garrio.demo","true","false","true","4","4","17","10","4","Andere","Unlimited","02.10.2023"
"BisterCare Zitadel","","bistercarezitadel832291@garrio.demo","true","false","true","7","7","8","15","5","Praxis","Unlimited","02.10.2023"
"Dev test API","123332322","devtestapi778743@garrio.demo","true","true","true","7","7","8","11","3","Praxis","Unlimited","02.10.2023"
"Minh-20231002-02","","minh-20231002-02818496@garrio.demo","true","true","true","1","1","0","0","3","Praxis","Unlimited","02.10.2023"
"blue and zitadel","675468972","blueandzitadel115974@garrio.demo","true","true","true","3","3","2","3","3","Praxis","Unlimited","02.10.2023"
"MEDI Clinics","","mediclinics288443@garrio.demo","true","false","true","1","1","0","0","3","Praxis","Unlimited","18.09.2023"
"blue test","","bluetest635160@garrio.demo","true","true","true","0","0","0","0","3","Praxis","Unlimited","15.09.2023"
"Kardiologie","","kardiologie109841@garrio.demo","true","false","true","5","5","8","19","4","Praxis","Unlimited","12.09.2023"
"abc","123454321","abc287583@garrio.demo","true","true","true","0","0","0","0","3","Praxis","Unlimited","23.08.2023"
"2223213123212222312321","232153213","2223213123212222312321866335@garrio.demo","true","true","true","0","0","0","0","3","Praxis","Unlimited","10.08.2023"
"111122","321321321","111122194032@garrio.demo","true","true","true","0","0","0","0","3","Praxis","Unlimited","25.07.2023"
"20230725 BisterCare","787777777","20230725bistercare629352@garrio.demo","true","false","true","0","0","0","0","3","Kinder-und Jugendpsychotherapiepraxis","Unlimited","25.07.2023"
"Care Provider B ","121212121","careproviderb428971@garrio.demo","true","false","true","1","1","0","1","3","Praxis","Unlimited","24.07.2023"
"Testing for magic link","872901721","testingformagiclink817546@garrio.demo","true","true","true","1","1","0","1","3","Praxis","Unlimited","09.06.2023"
"Christians Magic Link Test","774777777","christiansmagiclinktest691119@garrio.demo","true","false","true","1","1","0","0","3","Praxis","Unlimited","05.06.2023"
"Marcels Pen Testing","777775777","marcelspentesting271882@garrio.demo","true","false","true","1","1","0","1","3","Praxis","Unlimited","05.06.2023"
"NursingAdmin","111222333","nursingadmin213689@garrio.demo","true","false","true","0","0","0","0","3","Gesundheitspartner","Unlimited","02.06.2023"
"Minh Care 222","999999992","minhcare222406080@garrio.demo","true","true","true","5","5","14","27","3","Praxis","Unlimited","11.07.2025"
"BisterCare","999999999","bistercare772572@garrio.demo","true","false","true","3","3","20","84","10","Praxis","Unlimited","11.07.2025"
"UMP HCM","123111111","umphcm515973@garrio.demo","true","true","true","12","12","18","25","5","Praxis","Unlimited","11.07.2025"
"BisterCare #2","999999998","bistercare#2896014@garrio.demo","true","false","true","0","0","0","1","3","Praxis","Unlimited","11.07.2025"
"CB","888888889","cb116162@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"DianaCare","888888887","dianacare756468@garrio.demo","true","false","true","2","2","1","1","3","Praxis","Unlimited","11.07.2025"
"CB2","888888886","cb2611575@garrio.demo","true","false","true","1","1","1","0","3","Praxis","Unlimited","11.07.2025"
"CB3","888888885","cb3899253@garrio.demo","true","false","true","1","1","2","2","3","Praxis","Unlimited","11.07.2025"
"Binh Dan Hospital - HCM","111112222","binhdanhospital-hcm138882@garrio.demo","true","true","true","1","1","3","2","3","Praxis","Unlimited","11.07.2025"
"Demo Care","123456789","democare716335@garrio.demo","true","false","true","5","5","80","353","6","Praxis","Unlimited","11.07.2025"
"Minh Care 2","222222222","minhcare2612112@garrio.demo","true","true","true","1","1","2","0","3","Praxis","Unlimited","11.07.2025"
"CB4","888888884","cb4185247@garrio.demo","true","false","true","1","1","2","4","3","Praxis","Unlimited","11.07.2025"
"Praxis Süd","888888877","praxissd705083@garrio.demo","true","false","true","10","10","3","38","5","Praxis","Unlimited","11.07.2025"
"Praxis Nord","777777777","praxisnord157561@garrio.demo","true","false","true","2","2","1","3","3","Praxis","Unlimited","11.07.2025"
"Praxis West","666666666","praxiswest739286@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"Minh Care 3","333333333","minhcare3829224@garrio.demo","true","true","true","1","1","7","21","3","Kinder-und Jugendpsychotherapiepraxis","Unlimited","11.07.2025"
"Demo care","567876545","democare681895@garrio.demo","true","true","true","2","2","2","8","3","Praxis","Unlimited","11.07.2025"
"Trung Test","050119922","trungtest809135@garrio.demo","true","true","true","1","1","1","4","4","Praxis","Unlimited","11.07.2025"
"Hausärzte am Spritzenhaus","561901900","hausrzteamspritzenhaus737094@garrio.demo","true","true","true","1","1","1","3","3","Praxis","Unlimited","11.07.2025"
"Victoria Care","909090909","victoriacare699003@garrio.demo","true","false","true","1","1","1","1","3","Praxis","Unlimited","11.07.2025"
"Trung Care","210620222","trungcare565684@garrio.demo","true","true","true","2","2","8","23","5","Praxis","Unlimited","11.07.2025"
"Blue Care","787878787","bluecare283422@garrio.demo","true","true","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"Bister Care 3","199999999","bistercare3825269@garrio.demo","true","false","true","3","3","1","4","3","Praxis","Unlimited","11.07.2025"
"Praxis am Marktplatz","888888888","praxisammarktplatz645210@garrio.demo","true","false","true","3","3","18","131","12","Praxis","Unlimited","11.07.2025"
"Trung 29/06","234234324","trung29/06149771@garrio.demo","true","true","true","1","1","1","1","3","Praxis","Unlimited","11.07.2025"
"Trung 1111","213213213","trung1111256209@garrio.demo","true","true","true","0","0","1","0","3","Praxis","Unlimited","11.07.2025"
"Trung hahahahha","231241421","trunghahahahha618507@garrio.demo","true","true","true","0","0","1","0","3","Praxis","Unlimited","11.07.2025"
"Huu Le Care","123213232","huulecare309391@garrio.demo","true","true","true","4","4","3","5","3","Praxis","Unlimited","11.07.2025"
"Test Hang","521111100","testhang783269@garrio.demo","true","true","true","0","0","0","1","3","Praxis","Unlimited","11.07.2025"
"Hausärztliche Gemeinschaftspraxis Teningen","571950100","hausrztlichegemeinschaftspraxi@garrio.demo","true","false","true","1","1","1","1","3","Praxis","Unlimited","11.07.2025"
"Bister Chrome Care","555555555","bisterchromecare186158@garrio.demo","true","false","true","1","1","0","0","3","Praxis","Unlimited","11.07.2025"
"GarrioCom Care","123432123","garriocomcare149867@garrio.demo","true","true","true","5","5","19","44","3","Praxis","Unlimited","11.07.2025"
"Praxis Südsüd","123123123","praxissdsd826787@garrio.demo","true","false","true","10","10","16","161","14","Praxis","Unlimited","11.07.2025"
"Brwa","525252525","brwa254735@garrio.demo","true","false","true","1","1","0","5","3","Praxis","Unlimited","11.07.2025"
"CP 01","555555550","cp01644366@garrio.demo","true","false","true","5","5","4","14","3","Praxis","Unlimited","11.07.2025"
"CPVN","213123444","cpvn337385@garrio.demo","true","false","true","1","1","0","1","3","Praxis","Unlimited","11.07.2025"
"Galaxy Care","345623451","galaxycare408026@garrio.demo","true","true","true","2","2","42","63","4","Praxis","Unlimited","11.07.2025"
"Lu Ho Trung","234242343","luhotrung741914@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"Care Provider A","998877665","careprovidera874418@garrio.demo","true","false","true","18","18","39","61","14","Praxis","Unlimited","11.07.2025"
"Bister Firefox","444444444","bisterfirefox663770@garrio.demo","true","false","true","1","1","1","3","3","Praxis","Unlimited","11.07.2025"
"Nhat Care","546345928","nhatcare765549@garrio.demo","true","false","true","1","1","1","4","3","Praxis","Unlimited","11.07.2025"
"Gia Care","123456799","giacare843637@garrio.demo","true","false","true","16","15","144","323","11","Praxis","Unlimited","11.07.2025"
"Quang Gia Gia - Care Provider in Firefox","123454322","quanggiagia-careproviderinfire@garrio.demo","true","false","true","7","7","59","127","7","Praxis","Unlimited","11.07.2025"
"TÜVIT","444444449","tvit109344@garrio.demo","true","false","true","1","1","2","1","3","Praxis","Unlimited","11.07.2025"
"Hoang Gia Gia Care","122324343","hoanggiagiacare671024@garrio.demo","true","false","true","11","11","31","71","6","Praxis","Unlimited","11.07.2025"
"Vietnam Royal Care","124453223","vietnamroyalcare431948@garrio.demo","true","false","true","2","2","5","13","4","Praxis","Unlimited","11.07.2025"
"Blue-20230317","202303170","blue-20230317772728@garrio.demo","true","false","true","1","1","1","3","3","Praxis","Unlimited","11.07.2025"
"Praxis Vulkan mit einem ganz langen Namen noch dazu","989999999","praxisvulkanmiteinemganzlangen@garrio.demo","false","false","true","1","1","1","2","3","Praxis","Unlimited","11.07.2025"
"MEDICLINIC","202303270","mediclinic735149@garrio.demo","true","false","true","5","5","14","32","8","Praxis","Unlimited","11.07.2025"
"Demo GKV mit sehr langem Namen und noch mehr Wörtern im Namen","979999999","demogkvmitsehrlangemnamenundno@garrio.demo","true","false","true","2","2","0","4","3","Krankenversicherung","Unlimited","11.07.2025"
"Demo Praxis","969999999","demopraxis712583@garrio.demo","true","false","true","3","3","3","34","4","Praxis","Unlimited","11.07.2025"
"heh","123456788","heh180355@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"ZzXX","123213123","zzxx360241@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"asdasdas","212421143","asdasdas282768@garrio.demo","true","false","true","0","0","0","0","3","Praxis","Unlimited","11.07.2025"
"AOK BW","999999996","aokbw588595@garrio.demo","true","false","true","0","0","0","0","3","Krankenversicherung","Unlimited","11.07.2025"
"garrio DEMO Gesundheitspartner","1","garriodemogesundheitspartner72@garrio.demo","true","true","true","10","10","329","37","7","Praxis","Unlimited","11.07.2025"
"Testing AdminID","898888888","testingadminid683628@garrio.demo","false","true","true","1","1","0","0","4","Praxis","Unlimited","11.07.2025"
